date,lwti,lbrent,lwip,lgop,gpr_ai,military_conflict,diplomatic_tension,terrorism,civil_war,nuclear_threat,coup,sanctions,other
1990-01-01,2.88644247976,2.81341071676,3.8232622951,11.0145059002,105.44,20.3665,39.7607,9.7483,21.7993,0.6652,2.5842,0.5117,10.0041
1990-02-01,2.84916991694,2.73932678278,3.82732099126,11.018727499,96.62,7.808,47.7013,5.793,20.7373,1.8191,1.2314,1.8191,9.711
1990-03-01,2.76350795877,2.6602704128,3.83153493812,11.0321763088,93.28,6.0244,48.7924,6.0975,15.8292,3.1219,3.9512,0.6098,8.8536
1990-04-01,2.66011304772,2.55613819967,3.82123893394,11.0262231861,97.01,8.7451,45.1435,9.6905,12.6318,5.2786,1.2606,5.8826,8.3774
1990-05-01,2.64600448222,2.53881078548,3.83239658612,11.0162492643,98.76,8.0769,49.9461,10.3667,13.7887,3.2459,1.2329,2.0129,10.0899
1990-06-01,2.55381398173,2.45310000613,3.83594459699,11.0030826914,89.86,2.9179,41.6506,11.8522,17.0166,2.8404,0.9296,2.1174,10.5353
1990-07-01,2.64886132971,2.57696063413,3.83579517798,11.0049125485,86.86,7.3162,38.8898,7.1086,18.2904,1.9977,2.5684,1.2453,9.4436
1990-08-01,3.03265610258,3.02751659054,3.84125136897,10.9427920603,204.1,120.6208,31.2772,5.479,21.5306,1.0187,3.2213,11.4536,9.4988
1990-09-01,3.23043144231,3.27107436977,3.84325647343,10.9864276718,150.69,74.4212,34.9147,4.5375,15.4874,1.5759,1.2227,7.8524,10.6782
1990-10-01,3.29644748525,3.29589239225,3.84258426354,10.9926722071,111.25,43.5576,34.6356,7.726,10.5725,2.679,1.4113,2.4637,8.2044
1990-11-01,3.18556729362,3.20819822887,3.83776473608,11.0066063383,124.26,60.2973,29.8214,7.6452,12.8816,2.5658,0.6546,1.728,8.6663
1990-12-01,3.01199279443,3.04764013316,3.83569297263,11.0107622143,137.67,54.7453,44.1243,5.0282,11.5084,3.1191,4.9206,3.0922,11.1319
1991-01-01,2.93015386522,2.86209481952,3.83771759786,11.0076842195,259.57,204.2443,25.0813,8.6051,9.9465,0.9364,2.05,1.5185,7.1878
1991-02-01,2.72082678768,2.67384163412,3.83600798201,11.002433119,207.53,154.1908,25.3922,7.7689,7.4299,0.9646,2.3463,1.486,7.9513
1991-03-01,2.69209771924,2.65001865353,3.82985963318,11.0062910458,116.74,54.5812,26.6554,4.8586,18.8995,0.3789,1.5378,1.627,8.2017
1991-04-01,2.73554919629,2.65302301048,3.82989058576,10.9845127578,94.08,29.3639,28.4621,4.1387,14.4276,1.7572,0.8092,2.6358,12.4854
1991-05-01,2.7508760862,2.6498501205,3.83556913852,10.9811655738,88.52,19.0609,31.4575,5.572,17.3172,2.345,1.0823,2.0243,9.6607
1991-06-01,2.69770273258,2.59228718266,3.8365089113,10.984919772,78.55,15.701,29.0967,6.3565,12.0863,4.6331,0.4029,2.6859,7.5875
1991-07-01,2.7544367143,2.65631885834,3.83969137197,11.0009491794,93.95,20.804,32.6136,3.5017,15.1052,10.2761,0.7324,3.3415,7.5755
1991-08-01,2.76496456369,2.67227887603,3.83830533395,10.9882882319,110.44,12.1993,30.564,5.585,16.5359,5.2345,27.1583,1.8179,11.3452
1991-09-01,2.77121917169,2.7056141463,3.83786117841,11.0042142709,103.19,13.4625,40.2758,3.4828,24.1342,6.5861,5.4252,1.1833,8.6401
1991-10-01,2.82917501748,2.7842731086,3.84142461963,11.0049956443,88.74,14.2538,33.0245,3.5794,12.3362,8.9486,6.3705,3.0042,7.2228
1991-11-01,2.79110277672,2.72911368927,3.84104221963,11.0087609401,93.67,16.4675,34.3374,5.6324,14.3185,6.1979,3.4383,3.6192,9.6588
1991-12-01,2.64688274022,2.5893622699,3.83348530262,11.0156410768,98.14,9.2781,39.6812,8.1045,17.3826,10.2303,3.4987,1.7272,8.2374
1992-01-01,2.60906976074,2.57496632049,3.84159150136,10.997950846,98.34,11.6011,37.395,6.7991,18.3553,7.8986,6.0137,1.9298,8.3474
1992-02-01,2.61854325573,2.56672378401,3.8454952252,10.9956725302,87.25,15.9737,34.2061,4.0284,12.4111,4.3311,4.8666,3.4928,7.9403
1992-03-01,2.61019665068,2.53957908347,3.84358956766,10.9767022865,83.72,16.2651,31.0849,6.3205,12.4469,5.2204,1.4669,3.1063,7.809
1992-04-01,2.67498933884,2.60804225129,3.84417330014,10.9739147984,81.9,16.3235,20.1339,4.3514,18.8638,3.5281,5.4804,5.3628,7.856
1992-05-01,2.70924252269,2.65589001259,3.83826440801,10.9702582181,88.84,19.916,17.9442,3.8334,24.5866,4.4723,3.6351,5.5738,8.8785
1992-06-01,2.77142816326,2.71492633964,3.84031605603,10.9685311824,93.72,22.8909,35.011,3.518,16.5778,2.53,1.6746,3.5421,7.9757
1992-07-01,2.74095481472,2.66762354163,3.84212388267,10.9769888494,95.97,24.0677,32.3195,7.1558,16.654,1.8481,3.3738,2.7936,7.7575
1992-08-01,2.71841298814,2.64047677627,3.83631668209,10.97720567,102.93,41.1352,23.1922,2.7778,21.9565,1.2868,0.9804,1.7974,9.8038
1992-09-01,2.74127430468,2.66484328759,3.84483166751,10.9864296865,87.87,19.8884,30.8385,4.3137,15.1393,3.4426,1.6591,2.2398,10.3486
1992-10-01,2.72830936413,2.66010653811,3.84667673219,10.9934248386,79.55,21.8762,21.6832,3.9582,16.9333,3.881,0.9268,2.0081,8.2832
1992-11-01,2.66122854151,2.60407012767,3.84286613213,10.989658231,99.22,22.0674,24.5401,9.496,17.4544,4.5298,3.4909,8.2908,9.3506
1992-12-01,2.61302107807,2.54535212558,3.83723053565,10.9916321624,131.65,53.8918,29.17,8.875,19.2257,2.2455,1.3901,1.9675,14.8844
1993-01-01,2.58974181739,2.49962046445,3.84618059363,10.9867494072,110.43,45.5542,29.463,4.8662,17.2771,2.6171,1.145,1.4721,8.0354
1993-02-01,2.64184867825,2.55777429364,3.85341056685,10.9963934574,93.84,25.3975,28.9837,8.0662,15.6309,4.1203,0.6976,2.2672,8.6766
1993-03-01,2.65183547386,2.57355466458,3.84977243746,10.9766645562,116.68,29.1551,24.7094,28.1628,14.6867,7.006,1.29,2.6396,9.0303
1993-04-01,2.64490153425,2.56366469825,3.85178756013,10.9728651071,101.58,32.0463,22.2241,12.8523,15.2351,5.0471,0.9944,3.6305,9.5501
1993-05-01,2.62719810447,2.55228008772,3.85496318001,10.972188937,103.53,31.8883,22.0258,13.1084,20.1531,3.5848,1.4803,3.7809,7.5084
1993-06-01,2.58244035795,2.50401150359,3.8530674519,10.966934146,99.56,27.8558,23.3204,11.8125,15.9249,3.8924,4.8739,4.4847,7.3955
1993-07-01,2.51613257596,2.45207837947,3.8526633121,10.97598457,110,29.5986,30.8342,14.5722,17.5702,5.2329,1.3809,2.9798,7.8312
1993-08-01,2.52074386522,2.44522542546,3.85053893142,10.9714998506,103.52,36.0417,19.7941,13.0166,17.863,1.7454,1.3741,4.1222,9.5628
1993-09-01,2.4906373245,2.40164997058,3.85720022864,10.9793524875,101.28,21.2626,39.5556,6.5492,17.979,3.3554,2.8709,1.7225,7.9847
1993-10-01,2.52297761094,2.43431197385,3.85656832904,10.989382771,107.65,29.3407,26.5344,8.9607,21.2858,4.9656,3.5099,6.9712,6.0816
1993-11-01,2.4315684879,2.34285899213,3.85781469216,10.9942126859,86.08,13.8808,27.3429,8.7524,12.1201,6.7011,3.4018,5.5899,8.2909
1993-12-01,2.29503788736,2.23909409774,3.86237475956,10.9918236044,90.48,13.5427,31.5885,12.3207,11.9189,8.822,0.8872,3.1806,8.2194
1994-01-01,2.32955908173,2.2790708699,3.86233436044,11.0183632717,91.45,17.4399,30.3665,7.1162,18.5266,7.7998,1.1042,2.5064,6.5904
1994-02-01,2.31005541636,2.241449093,3.86735007647,11.0069786538,107.13,29.4895,30.942,10.8582,15.3258,7.6929,0.6811,4.4074,7.733
1994-03-01,2.30054358157,2.24017437672,3.87384726115,11.0050378543,106.68,21.3035,31.998,14.5103,20.2768,7.1012,1.0267,2.8234,7.6402
1994-04-01,2.41187808372,2.3366451466,3.88104665482,11.0013165845,113.75,35.9928,24.5057,10.0489,25.0661,5.7902,0.2615,2.8764,9.2083
1994-05-01,2.49558390773,2.3957357779,3.88411541882,11.0041649075,101.08,19.2271,28.7031,4.0415,27.0349,7.2317,0.7911,5.6925,8.3581
1994-06-01,2.5562257145,2.42762891133,3.89267314139,11.011197581,92.59,16.0389,22.9153,5.1082,20.6291,12.0739,0.2679,7.6801,7.8766
1994-07-01,2.58384496997,2.4731577573,3.89234583187,11.009240486,109.62,21.5373,31.168,11.3422,21.8333,5.8469,1.6468,3.09,13.1555
1994-08-01,2.51248699697,2.42794561086,3.90524810486,10.9953134658,102.6,19.2932,30.0838,10.5563,16.3929,9.7997,0.7926,4.2964,11.385
1994-09-01,2.45855213009,2.36553159067,3.90778533398,11.012677434,102.69,36.2177,31.9439,7.3145,9.8653,2.9224,2.0102,3.9022,8.5139
1994-10-01,2.47323685847,2.40129704986,3.91436945277,11.021910475,89.16,25.8896,25.8462,11.4911,5.7455,4.2527,3.6452,3.4369,8.8526
1994-11-01,2.49012221951,2.4401969343,3.92223834435,11.0224969323,78.38,25.553,20.1469,7.7702,11.6466,4.2588,0.6779,0.9213,7.4052
1994-12-01,2.43644954141,2.36207257127,3.93067598966,11.0304529979,101.61,39.9192,25.3404,11.7918,11.939,3.6056,0.3679,0.9198,7.7263
1995-01-01,2.48379861643,2.39759320362,3.92766870556,11.0229199082,86.91,35.0737,19.5684,11.1325,5.5389,3.6076,0.3826,2.4051,9.2012
1995-02-01,2.51010019558,2.42821590812,3.92985355018,11.0302950443,86.42,23.5363,28.1637,9.1768,9.9172,2.4549,0.3702,4.0916,8.7092
1995-03-01,2.50649728238,2.42036812865,3.93142915683,11.0217596478,79.63,16.3259,27.5706,12.2352,7.5943,3.5403,1.0089,4.1457,7.2091
1995-04-01,2.57332605276,2.50845246712,3.93622905503,11.0286726851,100.37,17.8587,24.7838,30.6711,8.4641,5.8694,0.0716,4.8494,7.802
1995-05-01,2.56327902073,2.49026156122,3.93495643451,11.0208976501,87.93,21.8952,28.1462,13.7988,3.6409,4.9709,0.0831,7.5977,7.7972
1995-06-01,2.49372591322,2.42994591192,3.93692572843,11.0141274026,93.55,33.1001,26.3587,12.8333,5.1265,4.5113,1.0595,4.5626,5.998
1995-07-01,2.42978917087,2.34051956746,3.93508649029,11.0308516351,88.17,35.7654,24.0282,10.6025,6.4995,2.7051,0.817,1.5432,6.209
1995-08-01,2.46686832523,2.35420534504,3.94425627349,11.0299984311,95.02,33.9134,26.6056,14.2668,4.6454,6.0409,1.3955,1.322,6.8304
1995-09-01,2.47714747202,2.38948760275,3.94136291615,11.0342689392,79.09,25.3257,23.8178,10.3929,5.9828,4.9614,0.9728,0.989,6.6476
1995-10-01,2.42966247849,2.35090981615,3.94172388743,11.0261501825,60.97,15.3274,21.6846,9.5667,4.4953,2.5717,0.8538,1.7488,4.7217
1995-11-01,2.45998358341,2.39511148802,3.946694461,11.0380967417,80.19,15.8852,28.8017,16.8748,8.2464,1.6319,0.2257,2.8125,5.7117
1995-12-01,2.51488382645,2.45534243276,3.95249832919,11.0369240932,81.64,29.8462,25.0625,7.8509,5.3558,3.7347,0.1271,1.176,8.4866
