model,outcome,event,horizon,instrument_lead,n,origin_start,origin_end,beta,hc3_se,hc3_p,hc1_se,hc1_p
single,lwti,gpr_ai,0,2,432,1990-04-01,2026-03-01,-0.00011202680673,9.75933438299e-05,0.251012355431,9.2620983101e-05,0.226463649258
single,lwti,gpr_ai,1,2,432,1990-04-01,2026-03-01,-0.000222844083938,0.000228630623223,0.3297138339,0.000215393633711,0.300860459827
single,lwti,military_conflict,0,2,432,1990-04-01,2026-03-01,-9.76371338462e-05,0.000113081962596,0.38790704538,0.000106304884232,0.358376368739
single,lwti,military_conflict,1,2,432,1990-04-01,2026-03-01,-0.000299308685578,0.00026731411142,0.262846289498,0.000244960794626,0.221759201431
single,lwti,diplomatic_tension,0,2,432,1990-04-01,2026-03-01,-0.000169823017458,0.000353076780693,0.630530416388,0.00034368534558,0.62121893847
single,lwti,diplomatic_tension,1,2,432,1990-04-01,2026-03-01,0.000238302341602,0.000624837162752,0.702918990495,0.000611643187942,0.696824909111
single,lwti,terrorism,0,2,432,1990-04-01,2026-03-01,-0.000150072109303,0.000171424472752,0.381333690294,0.000152751591708,0.325873987292
single,lwti,terrorism,1,2,432,1990-04-01,2026-03-01,7.53910808502e-05,0.000269098352781,0.779353367122,0.000254478002636,0.7670332479
single,lwti,civil_war,0,2,432,1990-04-01,2026-03-01,0.000921573722555,0.000584746176353,0.115020384717,0.000570218565639,0.106056204775
single,lwti,civil_war,1,2,432,1990-04-01,2026-03-01,-0.00035974512511,0.000950434512881,0.705054769138,0.000923513789866,0.696877076542
single,lwti,nuclear_threat,0,2,432,1990-04-01,2026-03-01,-0.000886168604412,0.000755653218009,0.240908659122,0.000736941628773,0.229171812396
single,lwti,nuclear_threat,1,2,432,1990-04-01,2026-03-01,-0.00143016695028,0.00131207194082,0.275710278693,0.00127761080008,0.262966386676
single,lwti,coup,0,2,432,1990-04-01,2026-03-01,0.000221021716541,0.00095464080809,0.81690818352,0.000811120810194,0.785245841412
single,lwti,coup,1,2,432,1990-04-01,2026-03-01,-0.000103824445235,0.00124445365016,0.933509841352,0.00110080385635,0.924857398081
single,lwti,sanctions,0,2,432,1990-04-01,2026-03-01,-0.000203483980659,0.000679115727151,0.764458796916,0.000616059649673,0.741173932653
single,lwti,sanctions,1,2,432,1990-04-01,2026-03-01,-0.00058861479427,0.00156706964394,0.707203170887,0.00131218424958,0.653737312349
single,lwti,other,0,2,432,1990-04-01,2026-03-01,0.000216242004331,0.000889182182152,0.80785665428,0.000837003954413,0.796134927076
single,lwti,other,1,2,432,1990-04-01,2026-03-01,0.00120317050646,0.00129074357341,0.351257456073,0.00121284079969,0.321184480745
joint,lwti,military_conflict,0,2,432,1990-04-01,2026-03-01,-0.000149610349957,0.000126088573168,0.235405313772,0.000117527099427,0.20302301657
joint,lwti,diplomatic_tension,0,2,432,1990-04-01,2026-03-01,-0.000310243381341,0.000393927443402,0.430951321157,0.000379315027188,0.413411850543
joint,lwti,nuclear_threat,0,2,432,1990-04-01,2026-03-01,-0.00126127167007,0.000816154132636,0.122253369012,0.000793560547541,0.111973942776
