outcome,test,horizon,scope,covariance,difference,wald_chi2,df,p_value
lwti,all_three_equal,0,pointwise,HC3,,2.09574284866,2,0.350683411407
lwti,all_three_equal,0,pointwise,HC1,,2.60037179128,2,0.272481135271
lwti,military_minus_diplomatic,0,pointwise,HC3,0.0359258022984,1.12315159491,1,0.289240844758
lwti,military_minus_diplomatic,0,pointwise,HC1,0.0359258022984,1.32686178369,1,0.249364277941
lwti,military_minus_nuclear,0,pointwise,HC3,0.0408886093587,1.90801418756,1,0.167184012847
lwti,military_minus_nuclear,0,pointwise,HC1,0.0408886093587,2.33849495806,1,0.126211441537
lwti,diplomatic_minus_nuclear,0,pointwise,HC3,0.00496280706029,0.023849037581,1,0.877269647353
lwti,diplomatic_minus_nuclear,0,pointwise,HC1,0.00496280706029,0.0265331347918,1,0.870605086346
lwti,all_three_equal,12,pointwise,HC3,,9.67040638566,2,0.00794507377892
lwti,all_three_equal,12,pointwise,HC1,,10.4109914429,2,0.00548633007516
lwti,military_minus_diplomatic,12,pointwise,HC3,0.171447247434,5.11870695284,1,0.0236692471055
lwti,military_minus_diplomatic,12,pointwise,HC1,0.171447247434,5.48476648158,1,0.0191828821856
lwti,military_minus_nuclear,12,pointwise,HC3,-0.109004787719,3.46050666385,1,0.0628510533695
lwti,military_minus_nuclear,12,pointwise,HC1,-0.109004787719,3.8481982389,1,0.0497994602674
lwti,diplomatic_minus_nuclear,12,pointwise,HC3,-0.280452035153,9.64038300457,1,0.00190345541999
lwti,diplomatic_minus_nuclear,12,pointwise,HC1,-0.280452035153,10.357619001,1,0.00128941402919
lwti,all_three_equal,24,pointwise,HC3,,16.1216504378,2,0.000315666204066
lwti,all_three_equal,24,pointwise,HC1,,17.1652136685,2,0.000187335986457
lwti,military_minus_diplomatic,24,pointwise,HC3,0.293525937246,9.20956140829,1,0.00240754365512
lwti,military_minus_diplomatic,24,pointwise,HC1,0.293525937246,9.83489319771,1,0.00171232224304
lwti,military_minus_nuclear,24,pointwise,HC3,-0.123107915386,3.15517468004,1,0.0756865905846
lwti,military_minus_nuclear,24,pointwise,HC1,-0.123107915386,3.5078835307,1,0.0610774344635
lwti,diplomatic_minus_nuclear,24,pointwise,HC3,-0.416633852631,16.1195767694,1,5.94661448899e-05
lwti,diplomatic_minus_nuclear,24,pointwise,HC1,-0.416633852631,17.1543200599,1,3.44624726994e-05
lwti,all_three_equal,48,pointwise,HC3,,4.41694752282,2,0.109868205712
lwti,all_three_equal,48,pointwise,HC1,,4.71957041047,2,0.0944405063441
lwti,military_minus_diplomatic,48,pointwise,HC3,0.227614287279,4.39697417629,1,0.0360027543887
lwti,military_minus_diplomatic,48,pointwise,HC1,0.227614287279,4.71162513564,1,0.029959317332
lwti,military_minus_nuclear,48,pointwise,HC3,0.0182712854167,0.0484440847726,1,0.825793142523
lwti,military_minus_nuclear,48,pointwise,HC1,0.0182712854167,0.055389471324,1,0.813937339629
lwti,diplomatic_minus_nuclear,48,pointwise,HC3,-0.209343001862,2.81185717677,1,0.0935699947413
lwti,diplomatic_minus_nuclear,48,pointwise,HC1,-0.209343001862,3.00239769476,1,0.0831413893008
lwti,all_three_equal,"0,6,12,24,36,48",selected_path,HC3,,33.2876776869,12,0.000872816778073
lbrent,all_three_equal,0,pointwise,HC3,,1.32196445464,2,0.516343918229
lbrent,all_three_equal,0,pointwise,HC1,,1.63896429404,2,0.440659792417
lbrent,military_minus_diplomatic,0,pointwise,HC3,0.0390144963081,1.12170881563,1,0.289550799095
lbrent,military_minus_diplomatic,0,pointwise,HC1,0.0390144963081,1.33595049896,1,0.247749370322
lbrent,military_minus_nuclear,0,pointwise,HC3,0.0337628035535,0.942772011335,1,0.331565969427
lbrent,military_minus_nuclear,0,pointwise,HC1,0.0337628035535,1.16829057029,1,0.279752760853
lbrent,diplomatic_minus_nuclear,0,pointwise,HC3,-0.00525169275456,0.0249085323093,1,0.874595193481
lbrent,diplomatic_minus_nuclear,0,pointwise,HC1,-0.00525169275456,0.0277585285378,1,0.867677783365
