variable,first_available,last_available,nonmissing,missing
lwti,1990-01-01,2026-08-01,440,0
lbrent,1990-01-01,2026-08-01,440,0
lwip,1990-01-01,2026-06-01,438,2
lgop,1990-01-01,2026-02-01,434,6
production_growth,1990-02-01,2026-02-01,433,7
x_gpr_ai,1990-01-01,2026-08-01,440,0
x_military_conflict,1990-01-01,2026-08-01,440,0
x_diplomatic_tension,1990-01-01,2026-08-01,440,0
x_terrorism,1990-01-01,2026-08-01,440,0
x_civil_war,1990-01-01,2026-08-01,440,0
x_nuclear_threat,1990-01-01,2026-08-01,440,0
x_coup,1990-01-01,2026-08-01,440,0
x_sanctions,1990-01-01,2026-08-01,440,0
x_other,1990-01-01,2026-08-01,440,0
z_gpr_ai,1990-03-01,2026-08-01,438,2
z_military_conflict,1990-03-01,2026-08-01,438,2
z_diplomatic_tension,1990-03-01,2026-08-01,438,2
z_terrorism,1990-03-01,2026-08-01,438,2
z_civil_war,1990-03-01,2026-08-01,438,2
z_nuclear_threat,1990-03-01,2026-08-01,438,2
z_coup,1990-03-01,2026-08-01,438,2
z_sanctions,1990-03-01,2026-08-01,438,2
z_other,1990-03-01,2026-08-01,438,2
