model,outcome,event,horizon,n,hac_lag,beta,hac_se,hac_p,hac_95_low,hac_95_high
single,lwti,military_conflict,0,432,4,0.0662844145822,0.0186998244739,0.000393128219776,0.0296334320961,0.102935397068
single,lwti,military_conflict,0,432,12,0.0662844145822,0.0177063950546,0.000181453191462,0.0315805179792,0.100988311185
single,lwti,military_conflict,0,432,24,0.0662844145822,0.0163581965228,5.0768364862e-05,0.0342229385455,0.0983458906188
single,lwti,military_conflict,0,432,48,0.0662844145822,0.0145671042359,5.35743746341e-06,0.0377334149207,0.0948354142437
single,lwti,military_conflict,12,425,4,0.00266486283445,0.0357021895765,0.940500001865,-0.0673101429046,0.0726398685735
single,lwti,military_conflict,12,425,12,0.00266486283445,0.0397348127587,0.946529003084,-0.0752139391051,0.080543664774
single,lwti,military_conflict,12,425,24,0.00266486283445,0.0441643798668,0.951885130344,-0.0838957311041,0.089225456773
single,lwti,military_conflict,12,425,48,0.00266486283445,0.0506573585062,0.958046122032,-0.0966217353897,0.101951461059
single,lwti,military_conflict,24,413,4,0.0113525459255,0.0451250311088,0.801365880225,-0.0770908898491,0.0997959817001
single,lwti,military_conflict,24,413,12,0.0113525459255,0.0488839836508,0.816355908051,-0.0844583014509,0.107163393302
single,lwti,military_conflict,24,413,24,0.0113525459255,0.0529937753737,0.830372272459,-0.0925133452117,0.115218437063
single,lwti,military_conflict,24,413,48,0.0113525459255,0.0601361464251,0.850264671541,-0.106512135237,0.129217227088
single,lwti,military_conflict,48,389,4,0.0488972248449,0.047759248468,0.305916829256,-0.044709182081,0.142503631771
single,lwti,military_conflict,48,389,12,0.0488972248449,0.0503579298432,0.331551492722,-0.0498025039836,0.147596953674
single,lwti,military_conflict,48,389,24,0.0488972248449,0.0534096202414,0.359922153128,-0.0557837072562,0.153578156946
single,lwti,military_conflict,48,389,48,0.0488972248449,0.0585785143355,0.403869923582,-0.0659145535206,0.16370900321
single,lwti,diplomatic_tension,0,432,4,-0.0134771000911,0.0345795681656,0.696727549121,-0.0812518082967,0.0542976081144
single,lwti,diplomatic_tension,0,432,12,-0.0134771000911,0.0324792519714,0.678182236719,-0.0771352641998,0.0501810640175
single,lwti,diplomatic_tension,0,432,24,-0.0134771000911,0.0332139585624,0.684914432562,-0.0785752626575,0.0516210624752
single,lwti,diplomatic_tension,0,432,48,-0.0134771000911,0.0342344439088,0.693824120206,-0.0805753771832,0.0536211770009
single,lwti,diplomatic_tension,12,425,4,-0.198961983931,0.0686076814015,0.00373167729325,-0.33343056854,-0.0644933993208
single,lwti,diplomatic_tension,12,425,12,-0.198961983931,0.0644121954374,0.00200907935471,-0.325207567153,-0.0727164007081
single,lwti,diplomatic_tension,12,425,24,-0.198961983931,0.0663810966599,0.00272410481814,-0.329066542638,-0.068857425223
single,lwti,diplomatic_tension,12,425,48,-0.198961983931,0.0650656590246,0.00222920177759,-0.326488332249,-0.071435635612
single,lwti,diplomatic_tension,24,413,4,-0.309688756003,0.0800920008975,0.000110334843739,-0.466666193212,-0.152711318794
single,lwti,diplomatic_tension,24,413,12,-0.309688756003,0.0754990039613,4.09785648081e-05,-0.457664084636,-0.16171342737
single,lwti,diplomatic_tension,24,413,24,-0.309688756003,0.0761741490484,4.79221668347e-05,-0.458987344691,-0.160390167315
single,lwti,diplomatic_tension,24,413,48,-0.309688756003,0.0805121860997,0.000119825435217,-0.467489741075,-0.151887770931
single,lwti,diplomatic_tension,48,389,4,-0.227225520536,0.092910975742,0.0144600815134,-0.409327686759,-0.0451233543132
single,lwti,diplomatic_tension,48,389,12,-0.227225520536,0.102430342591,0.0265315295073,-0.427985302938,-0.0264657381339
single,lwti,diplomatic_tension,48,389,24,-0.227225520536,0.108313916519,0.0359190745588,-0.439516895938,-0.0149341451343
single,lwti,diplomatic_tension,48,389,48,-0.227225520536,0.126460801491,0.0723664314863,-0.475084136914,0.0206330958416
single,lwti,nuclear_threat,0,432,4,0.0196567034586,0.0117466842172,0.0942518924468,-0.00336637454481,0.042679781462
single,lwti,nuclear_threat,0,432,12,0.0196567034586,0.0111852035945,0.0788522929856,-0.00226589274626,0.0415792996635
single,lwti,nuclear_threat,0,432,24,0.0196567034586,0.0106810336855,0.0657187494163,-0.00127773788256,0.0405911447998
single,lwti,nuclear_threat,0,432,48,0.0196567034586,0.011401675401,0.084704437993,-0.00269016969081,0.042003576608
single,lwti,nuclear_threat,12,425,4,0.0847731521797,0.0355708751564,0.0171620248912,0.0150555179746,0.154490786385
single,lwti,nuclear_threat,12,425,12,0.0847731521797,0.0379765297019,0.0255983683703,0.0103405217063,0.159205782653
single,lwti,nuclear_threat,12,425,24,0.0847731521797,0.0351894703597,0.015994158147,0.0158030576397,0.15374324672
single,lwti,nuclear_threat,12,425,48,0.0847731521797,0.0304056422332,0.00530225835415,0.0251791884759,0.144367115884
single,lwti,nuclear_threat,24,413,4,0.0833669421402,0.0397718850706,0.0360708818592,0.00541547980454,0.161318404476
single,lwti,nuclear_threat,24,413,12,0.0833669421402,0.0442556166293,0.0595975021919,-0.00337247256677,0.170106356847
single,lwti,nuclear_threat,24,413,24,0.0833669421402,0.0423789905838,0.0491628995182,0.000305646894791,0.166428237386
single,lwti,nuclear_threat,24,413,48,0.0833669421402,0.043512224824,0.0553723526295,-0.00191545140205,0.168649335682
single,lwti,nuclear_threat,48,389,4,0.00447354199109,0.0392015620632,0.909145504561,-0.0723601077905,0.0813071917726
single,lwti,nuclear_threat,48,389,12,0.00447354199109,0.0397934319439,0.910491108006,-0.0735201514403,0.0824672354225
single,lwti,nuclear_threat,48,389,24,0.00447354199109,0.0397073608688,0.910297904005,-0.0733514552329,0.0822985392151
single,lwti,nuclear_threat,48,389,48,0.00447354199109,0.0373957133501,0.904778524691,-0.0688207093513,0.0777677933335
joint,lwti,military_conflict,0,432,4,0.0723816573766,0.020777380488,0.000494578207637,0.031658739927,0.113104574826
joint,lwti,diplomatic_tension,0,432,4,0.0350796238693,0.0334469351474,0.294263594681,-0.0304751644128,0.100634412151
joint,lwti,nuclear_threat,0,432,4,0.0310346152669,0.0115510656554,0.0072154866334,0.00839494259934,0.0536742879344
joint,lwti,military_conflict,0,432,12,0.0723816573766,0.0198316778991,0.000262444601289,0.0335122829414,0.111251031812
joint,lwti,diplomatic_tension,0,432,12,0.0350796238693,0.0296341609716,0.236509557142,-0.0230022643471,0.0931615120857
joint,lwti,nuclear_threat,0,432,12,0.0310346152669,0.0105705603915,0.00332530097717,0.0103166976031,0.0517525329306
joint,lwti,military_conflict,0,432,24,0.0723816573766,0.0189692415876,0.000135776472128,0.0352026270508,0.109560687702
joint,lwti,diplomatic_tension,0,432,24,0.0350796238693,0.0286868782891,0.221388005785,-0.0211456244062,0.0913048721448
joint,lwti,nuclear_threat,0,432,24,0.0310346152669,0.00952247877096,0.00111770207415,0.0123708998323,0.0496983307015
joint,lwti,military_conflict,0,432,48,0.0723816573766,0.0179736854947,5.64713107022e-05,0.0371538811376,0.107609433616
joint,lwti,diplomatic_tension,0,432,48,0.0350796238693,0.03021858522,0.245697801131,-0.0241477148256,0.0943069625642
joint,lwti,nuclear_threat,0,432,48,0.0310346152669,0.0102115445916,0.00237231308863,0.0110203556408,0.0510488748929
joint,lwti,military_conflict,12,425,4,-0.012465910976,0.0340380785318,0.714190269236,-0.0791793190012,0.0542474970492
joint,lwti,diplomatic_tension,12,425,4,-0.18937339781,0.0684569178921,0.00566937448989,-0.323546491371,-0.0552003042487
joint,lwti,nuclear_threat,12,425,4,0.0949216566301,0.0341823373877,0.00548764850628,0.0279255064429,0.161917806817
joint,lwti,military_conflict,12,425,12,-0.012465910976,0.0358494392876,0.728043269072,-0.0827295208457,0.0577976988937
joint,lwti,diplomatic_tension,12,425,12,-0.18937339781,0.0669163540128,0.00465477520302,-0.320527041652,-0.058219753968
joint,lwti,nuclear_threat,12,425,12,0.0949216566301,0.0346908628853,0.00621504198524,0.0269288147823,0.162914498478
joint,lwti,military_conflict,12,425,24,-0.012465910976,0.038421933785,0.745599054012,-0.0877715174111,0.0628396954591
joint,lwti,diplomatic_tension,12,425,24,-0.18937339781,0.0661151237843,0.00417935002621,-0.318956659261,-0.0597901363592
joint,lwti,nuclear_threat,12,425,24,0.0949216566301,0.0312102951057,0.00235514227601,0.033750602276,0.156092710984
joint,lwti,military_conflict,12,425,48,-0.012465910976,0.0427593601721,0.770641090413,-0.0962727169152,0.0713408949632
joint,lwti,diplomatic_tension,12,425,48,-0.18937339781,0.0617434952447,0.00216147428965,-0.310388424769,-0.0683583708507
joint,lwti,nuclear_threat,12,425,48,0.0949216566301,0.02692395641,0.000422610194056,0.0421516717451,0.147691641515
joint,lwti,military_conflict,24,413,4,-0.012531083361,0.0396337493317,0.75187192921,-0.0902118046234,0.0651496379014
joint,lwti,diplomatic_tension,24,413,4,-0.310650387099,0.0781753734335,7.07460337736e-05,-0.463871303507,-0.157429470691
joint,lwti,nuclear_threat,24,413,4,0.108670974863,0.0381730900837,0.00441617440467,0.0338530931206,0.183488856606
joint,lwti,military_conflict,24,413,12,-0.012531083361,0.0410176005848,0.759981538409,-0.0929241032394,0.0678619365174
joint,lwti,diplomatic_tension,24,413,12,-0.310650387099,0.0758233524794,4.18488564224e-05,-0.459261427146,-0.162039347052
joint,lwti,nuclear_threat,24,413,12,0.108670974863,0.0430666198483,0.0116251701837,0.0242619510248,0.193079998702
joint,lwti,military_conflict,24,413,24,-0.012531083361,0.0425715133018,0.768487626227,-0.0959697161999,0.0709075494779
joint,lwti,diplomatic_tension,24,413,24,-0.310650387099,0.0713566110554,1.33986400776e-05,-0.450506774826,-0.170793999372
joint,lwti,nuclear_threat,24,413,24,0.108670974863,0.0412713222708,0.00846127144967,0.0277806696181,0.189561280108
joint,lwti,military_conflict,24,413,48,-0.012531083361,0.0475551962735,0.792160537819,-0.105737555335,0.0806753886128
joint,lwti,diplomatic_tension,24,413,48,-0.310650387099,0.0772830095527,5.82855030481e-05,-0.462122302439,-0.159178471759
joint,lwti,nuclear_threat,24,413,48,0.108670974863,0.0412197627403,0.00837957323842,0.0278817244409,0.189460225286
joint,lwti,military_conflict,48,389,4,0.0192712540055,0.0445637161838,0.665419685203,-0.068072024732,0.106614532743
joint,lwti,diplomatic_tension,48,389,4,-0.210355522683,0.0962612307277,0.0288700125591,-0.399024068017,-0.0216869773496
joint,lwti,nuclear_threat,48,389,4,0.00033501870127,0.0380397873137,0.992973073388,-0.0742215944132,0.0748916318157
joint,lwti,military_conflict,48,389,12,0.0192712540055,0.0471537941429,0.682767642205,-0.073148484249,0.11169099226
joint,lwti,diplomatic_tension,48,389,12,-0.210355522683,0.103130230686,0.041379450395,-0.412487060545,-0.00822398482156
joint,lwti,nuclear_threat,48,389,12,0.00033501870127,0.0379729623527,0.992960707697,-0.0740906198964,0.0747606572989
joint,lwti,military_conflict,48,389,24,0.0192712540055,0.0492666426842,0.695677261815,-0.0772895912948,0.115832099306
joint,lwti,diplomatic_tension,48,389,24,-0.210355522683,0.102140700763,0.0394494106094,-0.410547617534,-0.0101634278332
joint,lwti,nuclear_threat,48,389,24,0.00033501870127,0.0383313155024,0.993026515197,-0.0747929791636,0.0754630165661
joint,lwti,military_conflict,48,389,48,0.0192712540055,0.0508934869735,0.704941437091,-0.0804781475103,0.119020655521
joint,lwti,diplomatic_tension,48,389,48,-0.210355522683,0.112395678136,0.0612671723827,-0.430647003848,0.00993595848097
joint,lwti,nuclear_threat,48,389,48,0.00033501870127,0.0349106514094,0.99234324953,-0.068088600738,0.0687586381406
single,lbrent,military_conflict,0,432,4,0.064997107481,0.024470592737,0.00790428304501,0.0170356270361,0.112958587926
single,lbrent,military_conflict,0,432,12,0.064997107481,0.021967323714,0.00308830797552,0.0219419441649,0.108052270797
single,lbrent,military_conflict,0,432,24,0.064997107481,0.0196424080619,0.000936233812409,0.0264986951102,0.103495519852
single,lbrent,military_conflict,0,432,48,0.064997107481,0.0175991253408,0.000221448841658,0.0305034556537,0.0994907593084
single,lbrent,military_conflict,12,425,4,-0.00117452767838,0.03757579895,0.975064138443,-0.0748217403106,0.0724726849539
single,lbrent,military_conflict,12,425,12,-0.00117452767838,0.0413773958283,0.977354503648,-0.0822727332759,0.0799236779192
single,lbrent,military_conflict,12,425,24,-0.00117452767838,0.0455471976616,0.97942719426,-0.0904453946919,0.0880963393352
single,lbrent,military_conflict,12,425,48,-0.00117452767838,0.0516935168801,0.981872835671,-0.102491958998,0.100142903641
single,lbrent,military_conflict,24,413,4,0.00802080883977,0.0480264685344,0.867363682439,-0.0861093397924,0.102150957472
single,lbrent,military_conflict,24,413,12,0.00802080883977,0.0513208317293,0.875806341999,-0.0925661730064,0.108607790686
single,lbrent,military_conflict,24,413,24,0.00802080883977,0.0552379672996,0.884549307094,-0.100243617647,0.116285235326
single,lbrent,military_conflict,24,413,48,0.00802080883977,0.0619634341297,0.897006153861,-0.113425290413,0.129466908092
single,lbrent,military_conflict,48,389,4,0.0494129397258,0.0504828472032,0.327675590147,-0.0495316226296,0.148357502081
single,lbrent,military_conflict,48,389,12,0.0494129397258,0.0527199804478,0.348618874527,-0.0539163232176,0.152742202669
single,lbrent,military_conflict,48,389,24,0.0494129397258,0.0554475348171,0.372840296635,-0.0592622315473,0.158088110999
single,lbrent,military_conflict,48,389,48,0.0494129397258,0.0596286717014,0.407286910129,-0.0674571092549,0.166282988707
single,lbrent,diplomatic_tension,0,432,4,-0.0187857987432,0.0346988399781,0.588234950157,-0.0867942754056,0.0492226779192
single,lbrent,diplomatic_tension,0,432,12,-0.0187857987432,0.0310481924686,0.545143851348,-0.0796391377667,0.0420675402804
single,lbrent,diplomatic_tension,0,432,24,-0.0187857987432,0.0315680524116,0.551784023428,-0.080658044532,0.0430864470456
single,lbrent,diplomatic_tension,0,432,48,-0.0187857987432,0.0331134775869,0.570499650139,-0.0836870222163,0.0461154247299
single,lbrent,diplomatic_tension,12,425,4,-0.184265311624,0.0742226198769,0.0130426291966,-0.329738973421,-0.0387916498276
single,lbrent,diplomatic_tension,12,425,12,-0.184265311624,0.0706684207595,0.00912158555178,-0.322772871157,-0.0457577520915
single,lbrent,diplomatic_tension,12,425,24,-0.184265311624,0.0740093461671,0.0127830345101,-0.329320964631,-0.0392096586176
single,lbrent,diplomatic_tension,12,425,48,-0.184265311624,0.0736367679625,0.012337025811,-0.328590724769,-0.03993989848
single,lbrent,diplomatic_tension,24,413,4,-0.310085783365,0.0861887921514,0.000320981111377,-0.479012711853,-0.141158854877
single,lbrent,diplomatic_tension,24,413,12,-0.310085783365,0.0814688913544,0.000141126057711,-0.46976187628,-0.15040969045
