model,outcome,event,horizon,n,augmented_price_lags,conventional_price_lags,augmented_beta,augmented_hc3_se,conventional_beta,conventional_hac6_se,comparison
single,lwti,military_conflict,0,432,3,2,0.065124540943,0.0255318862199,0.0662844145822,0.018165651298,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,1,432,3,2,0.0473526791375,0.0407235137015,0.0508191168904,0.0263540014265,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,2,432,3,2,0.0155723003004,0.0507065908479,0.0223997107294,0.0331103463968,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,3,432,3,2,-0.00030824478444,0.0463131075184,0.00633427919157,0.031601679286,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,4,432,3,2,-0.00668024763771,0.0400928845331,-4.07406004217e-06,0.0278692571657,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,5,432,3,2,0.00230098233755,0.0384630535991,0.00922319173156,0.0294635561863,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,6,431,3,2,-0.0471543597054,0.0360937384125,-0.0398880577702,0.0267540211439,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,7,430,3,2,-0.0430706134081,0.0353173381922,-0.0359428479514,0.0280922300812,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,8,429,3,2,-0.0427894599761,0.0394953311001,-0.0372486382368,0.0324143380166,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,9,428,3,2,-0.0239959805324,0.0410796110723,-0.0199654435288,0.0302809792097,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,10,427,3,2,-0.00636447364324,0.0456641330015,-0.00283486752654,0.0309247936473,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,11,426,3,2,0.010337233002,0.0503931720801,0.0144540619885,0.0355048856621,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,12,425,3,2,-0.00153839171121,0.0484596934426,0.00266486283445,0.0358413615181,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,13,424,3,2,-0.00519790642702,0.0541333819234,-0.000892680785068,0.0393933823001,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,14,423,3,2,0.0209008138072,0.0575724687921,0.0251114468081,0.0448699860571,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,15,422,3,2,0.0178376210336,0.0523022812486,0.0215435748705,0.0431862997828,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,16,421,3,2,-0.0049637516902,0.0530351700312,0.000848975931821,0.0444487930786,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,17,420,3,2,0.0102798925685,0.0542901006905,0.0165934976048,0.0471964646166,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,18,419,3,2,0.00186956874838,0.0575724933346,0.00699789247975,0.0478899140512,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,19,418,3,2,0.0120770629934,0.0581544170744,0.0167873715016,0.0501233343887,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,20,417,3,2,0.0351417038751,0.0579797764893,0.0380191111165,0.0483636744737,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,21,416,3,2,0.0275239358089,0.058978644602,0.0321553152016,0.0478201865277,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,22,415,3,2,0.0174347157956,0.0609192369922,0.0234060581121,0.0493885107974,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,23,414,3,2,0.00833351203494,0.0617462759216,0.0123844467172,0.0462801524384,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,24,413,3,2,0.00589755499183,0.0630980691638,0.0113525459255,0.0462087423327,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,25,412,3,2,0.0277269569479,0.0637534337964,0.0336908986176,0.046623305653,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,26,411,3,2,0.0131240666597,0.0641226720689,0.0203248687522,0.0449436025365,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,27,410,3,2,0.00492571627977,0.0651002554863,0.0127915098212,0.0442646547368,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,28,409,3,2,-0.00426775842002,0.065628620814,0.0020359459554,0.0443093065319,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,29,408,3,2,0.00799319891409,0.0687701811101,0.0143360054286,0.041887518453,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,30,407,3,2,-0.00777190186023,0.0669935289971,-0.000924796853295,0.0419274360806,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,31,406,3,2,0.000996532934105,0.067080872793,0.00740019744693,0.0427379252931,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,32,405,3,2,-0.0205873655805,0.0664937154832,-0.0143854984164,0.041662379959,Matched observations; distinct regressions and covariance estimators
single,lwti,military_conflict,33,404,3,2,-0.0181954279841,0.0680811452456,-0.0129798803659,0.0424245940773,Matched observations; distinct regressions and covariance estimators
