model,outcome,horizon,n,events,minimum_canonical_correlation,ar_joint_zero_statistic_hc3,ar_joint_zero_p_value_hc3,maximum_canonical_correlation,canonical_correlation_ratio,first_stage_rank,ar_joint_zero_statistic,ar_df
single,lwti,0,432,gpr_ai,0.858165364985,4.290966767,0.0383153727901,0.858165364985,1,1,5.28401985108,1
single,lwti,1,432,gpr_ai,0.858165364985,0.279794293118,0.596836075988,0.858165364985,1,1,0.394018364198,1
single,lwti,2,432,gpr_ai,0.858165364985,0.0711587211181,0.789657095073,0.858165364985,1,1,0.110557880906,1
single,lwti,3,432,gpr_ai,0.858165364985,0.27509885892,0.599931741916,0.858165364985,1,1,0.39314014958,1
single,lwti,4,432,gpr_ai,0.858165364985,0.41102205572,0.521451205605,0.858165364985,1,1,0.51632667901,1
single,lwti,5,432,gpr_ai,0.858165364985,0.386490015364,0.534150193093,0.858165364985,1,1,0.458623302514,1
single,lwti,6,431,gpr_ai,0.856137215537,4.50898989162,0.0337171469881,0.856137215537,1,1,5.51083711805,1
single,lwti,7,430,gpr_ai,0.856450325076,4.29533755337,0.0382170089445,0.856450325076,1,1,4.92240161757,1
single,lwti,8,429,gpr_ai,0.855557002662,4.56511496533,0.0326294841678,0.855557002662,1,1,4.81444264791,1
single,lwti,9,428,gpr_ai,0.854978144214,2.98959431295,0.0838011605193,0.854978144214,1,1,3.12040082956,1
single,lwti,10,427,gpr_ai,0.854489379678,1.70436741495,0.191717803533,0.854489379678,1,1,1.73024425584,1
single,lwti,11,426,gpr_ai,0.854401116947,1.15247675497,0.283031277677,0.854401116947,1,1,1.05773775144,1
single,lwti,12,425,gpr_ai,0.854224459943,2.71502915468,0.0994071544383,0.854224459943,1,1,2.35269313891,1
single,lwti,13,424,gpr_ai,0.854953486339,1.53272368093,0.215704128639,0.854953486339,1,1,1.42135877002,1
single,lwti,14,423,gpr_ai,0.85525409001,0.618733311154,0.431518385228,0.85525409001,1,1,0.575389197759,1
single,lwti,15,422,gpr_ai,0.854123366731,0.556992752865,0.455474452103,0.854123366731,1,1,0.420340267366,1
single,lwti,16,421,gpr_ai,0.854075604788,0.768836757077,0.380577151546,0.854075604788,1,1,0.585527512108,1
single,lwti,17,420,gpr_ai,0.854145367426,0.467885502469,0.493961547943,0.854145367426,1,1,0.367600449198,1
single,lwti,18,419,gpr_ai,0.853918597945,0.544093701391,0.46074109806,0.853918597945,1,1,0.445830872132,1
single,lwti,19,418,gpr_ai,0.853643992243,0.340353690117,0.559625136407,0.853643992243,1,1,0.257490003789,1
single,lwti,20,417,gpr_ai,0.853779385359,0.125366381425,0.723285560047,0.853779385359,1,1,0.105723156212,1
single,lwti,21,416,gpr_ai,0.853230711646,0.4526937363,0.501058510078,0.853230711646,1,1,0.44075150305,1
single,lwti,22,415,gpr_ai,0.853212392015,0.611429275811,0.434250169539,0.853212392015,1,1,0.603664435342,1
single,lwti,23,414,gpr_ai,0.853004215681,1.04641392177,0.306334440887,0.853004215681,1,1,1.09651370904,1
single,lwti,24,413,gpr_ai,0.85299672527,1.32494524255,0.249706459052,0.85299672527,1,1,1.48076433118,1
single,lwti,25,412,gpr_ai,0.852427458453,0.278086866276,0.597957902656,0.852427458453,1,1,0.308812880321,1
single,lwti,26,411,gpr_ai,0.852241345274,0.370834895195,0.542549530112,0.852241345274,1,1,0.415727832404,1
single,lwti,27,410,gpr_ai,0.852012182524,0.395709570034,0.529313373722,0.852012182524,1,1,0.460211085359,1
single,lwti,28,409,gpr_ai,0.852029945276,0.529688066814,0.466738032184,0.852029945276,1,1,0.580473063155,1
single,lwti,29,408,gpr_ai,0.851499209492,0.331048810096,0.565042162366,0.851499209492,1,1,0.359039356065,1
single,lwti,30,407,gpr_ai,0.851586296313,0.810545974979,0.367958882256,0.851586296313,1,1,0.879609519005,1
single,lwti,31,406,gpr_ai,0.851104821625,0.512638735368,0.473998793457,0.851104821625,1,1,0.551560093616,1
single,lwti,32,405,gpr_ai,0.851097298774,0.770436837044,0.380081947214,0.851097298774,1,1,0.87815840313,1
single,lwti,33,404,gpr_ai,0.851440443995,0.651755032918,0.419485907537,0.851440443995,1,1,0.68682627151,1
single,lwti,34,403,gpr_ai,0.857787532946,0.276491190636,0.599010291739,0.857787532946,1,1,0.346292952497,1
single,lwti,35,402,gpr_ai,0.851120691857,0.264691344014,0.606915302976,0.851120691857,1,1,0.353053341736,1
single,lwti,36,401,gpr_ai,0.851056098725,0.26051184608,0.609768727621,0.851056098725,1,1,0.377468323305,1
single,lwti,37,400,gpr_ai,0.851033437888,0.0962170014987,0.756417497581,0.851033437888,1,1,0.13321462876,1
single,lwti,38,399,gpr_ai,0.851014349677,0.315820468811,0.574130283185,0.851014349677,1,1,0.419286152052,1
single,lwti,39,398,gpr_ai,0.850830075109,0.198838027186,0.655660396222,0.850830075109,1,1,0.245614073938,1
single,lwti,40,397,gpr_ai,0.850816927959,0.245680978711,0.620132787428,0.850816927959,1,1,0.31260417694,1
single,lwti,41,396,gpr_ai,0.850762023814,0.157550194108,0.691422082021,0.850762023814,1,1,0.217744311728,1
single,lwti,42,395,gpr_ai,0.850826505986,0.0700862308117,0.79121126957,0.850826505986,1,1,0.104438775855,1
single,lwti,43,394,gpr_ai,0.849538131364,0.166916318494,0.682867041328,0.849538131364,1,1,0.300449632818,1
single,lwti,44,393,gpr_ai,0.849479383813,0.0947404548104,0.758234997738,0.849479383813,1,1,0.200122745298,1
single,lwti,45,392,gpr_ai,0.849228460811,0.0701394850534,0.791133798308,0.849228460811,1,1,0.130010297515,1
single,lwti,46,391,gpr_ai,0.849234107124,0.048432616846,0.825813432523,0.849234107124,1,1,0.0925377737921,1
single,lwti,47,390,gpr_ai,0.848894964744,0.136168002723,0.712120652202,0.848894964744,1,1,0.193380025729,1
single,lwti,48,389,gpr_ai,0.849006267188,0.023173610965,0.879006470708,0.849006267188,1,1,0.0329891097221,1
single,lwti,0,432,military_conflict,0.608314306709,7.87500481724,0.00501227379345,0.608314306709,1,1,13.9402694615,1
single,lwti,1,432,military_conflict,0.608314306709,1.30459057954,0.253376400949,0.608314306709,1,1,2.46372593385,1
single,lwti,2,432,military_conflict,0.608314306709,0.0922676344949,0.761313882214,0.608314306709,1,1,0.188269315607,1
single,lwti,3,432,military_conflict,0.608314306709,4.43099346066e-05,0.994688864166,0.608314306709,1,1,8.43421105199e-05,1
single,lwti,4,432,military_conflict,0.608314306709,0.0277561872137,0.867683312473,0.608314306709,1,1,0.0545255276724,1
single,lwti,5,432,military_conflict,0.608314306709,0.00358249903193,0.952271932048,0.608314306709,1,1,0.00617757614118,1
single,lwti,6,431,military_conflict,0.594888645888,1.60835520632,0.20472316359,0.594888645888,1,1,2.797796684,1
single,lwti,7,430,military_conflict,0.59492258308,1.34648698859,0.245893206338,0.59492258308,1,1,2.15692770324,1
single,lwti,8,429,military_conflict,0.594860866647,1.05390965631,0.30460837308,0.594860866647,1,1,1.65092530414,1
single,lwti,9,428,military_conflict,0.59333246563,0.322406582826,0.570164953602,0.59333246563,1,1,0.54429392073,1
single,lwti,10,427,military_conflict,0.592277208964,0.0190177860113,0.890315507376,0.592277208964,1,1,0.0356946669205,1
single,lwti,11,426,military_conflict,0.592122155154,0.0433813135048,0.835008931607,0.592122155154,1,1,0.0708240600786,1
single,lwti,12,425,military_conflict,0.591938525755,0.00100381285281,0.974724847537,0.591938525755,1,1,0.00148565715334,1
single,lwti,13,424,military_conflict,0.592968885827,0.00908326096461,0.924071663163,0.592968885827,1,1,0.0144073349894,1
single,lwti,14,423,military_conflict,0.594599376639,0.139026550218,0.709250677145,0.594599376639,1,1,0.177232106207,1
single,lwti,15,422,military_conflict,0.590436922696,0.120800832325,0.72816754024,0.590436922696,1,1,0.135116280238,1
