outcome,event,horizon,contribution_type,rank,date,signed_contribution,share_absolute_total,top5_share_absolute_total,top10_share_absolute_total
lwti,gpr_ai,0,raw,1,2022-04-01,-1278.71700808,0.0254655775046,0.110245423226,0.184528720171
lwti,gpr_ai,0,raw,2,2001-10-01,-1164.2191569,0.0231853592195,0.110245423226,0.184528720171
lwti,gpr_ai,0,raw,3,2001-09-01,1112.59347123,0.0221572365847,0.110245423226,0.184528720171
lwti,gpr_ai,0,raw,4,2026-03-01,1051.43023433,0.0209391741518,0.110245423226,0.184528720171
lwti,gpr_ai,0,raw,5,1991-02-01,-928.854022371,0.0184980757648,0.110245423226,0.184528720171
lwti,gpr_ai,0,partialled,1,2001-09-01,193.212124779,0.115030189421,0.33706479216,0.463910362113
lwti,gpr_ai,0,partialled,2,1991-01-01,105.534012545,0.0628304122598,0.33706479216,0.463910362113
lwti,gpr_ai,0,partialled,3,1990-08-01,96.5738941271,0.0574959431106,0.33706479216,0.463910362113
lwti,gpr_ai,0,partialled,4,2026-03-01,87.3667389536,0.0520143989019,0.33706479216,0.463910362113
lwti,gpr_ai,0,partialled,5,2022-03-01,83.4689927838,0.0496938484668,0.33706479216,0.463910362113
lwti,gpr_ai,12,raw,1,2022-04-01,-1278.71700808,0.0266233013898,0.112389891127,0.183592100858
lwti,gpr_ai,12,raw,2,2001-10-01,-1164.2191569,0.0242394191225,0.112389891127,0.183592100858
lwti,gpr_ai,12,raw,3,2001-09-01,1112.59347123,0.0231645556616,0.112389891127,0.183592100858
lwti,gpr_ai,12,raw,4,1991-02-01,-928.854022371,0.0193390409516,0.112389891127,0.183592100858
lwti,gpr_ai,12,raw,5,2023-11-01,-913.702146613,0.0190235740012,0.112389891127,0.183592100858
lwti,gpr_ai,12,partialled,1,2001-09-01,191.999644824,0.123818059614,0.363554310776,0.460555811618
lwti,gpr_ai,12,partialled,2,1991-01-01,102.954387163,0.0663939376496,0.363554310776,0.460555811618
lwti,gpr_ai,12,partialled,3,1990-08-01,97.3081119136,0.0627527285941,0.363554310776,0.460555811618
lwti,gpr_ai,12,partialled,4,2023-10-01,86.689438016,0.0559048846886,0.363554310776,0.460555811618
lwti,gpr_ai,12,partialled,5,2022-03-01,84.7973474482,0.0546847002297,0.363554310776,0.460555811618
lwti,gpr_ai,24,raw,1,2022-04-01,-1278.71700808,0.027745890376,0.117128884691,0.191333382353
lwti,gpr_ai,24,raw,2,2001-10-01,-1164.2191569,0.0252614901474,0.117128884691,0.191333382353
lwti,gpr_ai,24,raw,3,2001-09-01,1112.59347123,0.0241413043628,0.117128884691,0.191333382353
lwti,gpr_ai,24,raw,4,1991-02-01,-928.854022371,0.020154484313,0.117128884691,0.191333382353
lwti,gpr_ai,24,raw,5,2023-11-01,-913.702146613,0.0198257154915,0.117128884691,0.191333382353
lwti,gpr_ai,24,partialled,1,2001-09-01,192.409285795,0.128368048839,0.376102623521,0.4756066122
lwti,gpr_ai,24,partialled,2,1991-01-01,102.978040136,0.0687029736164,0.376102623521,0.4756066122
lwti,gpr_ai,24,partialled,3,1990-08-01,95.254578513,0.0635501781327,0.376102623521,0.4756066122
lwti,gpr_ai,24,partialled,4,2023-10-01,87.6764720005,0.0584943579685,0.376102623521,0.4756066122
lwti,gpr_ai,24,partialled,5,2022-03-01,85.4172091,0.0569870649647,0.376102623521,0.4756066122
lwti,gpr_ai,48,raw,1,2022-04-01,-1278.71700808,0.0311308005091,0.130037237664,0.198542044084
lwti,gpr_ai,48,raw,2,2001-10-01,-1164.2191569,0.0283433113764,0.130037237664,0.198542044084
lwti,gpr_ai,48,raw,3,2001-09-01,1112.59347123,0.0270864664988,0.130037237664,0.198542044084
lwti,gpr_ai,48,raw,4,1991-02-01,-928.854022371,0.0226132671184,0.130037237664,0.198542044084
lwti,gpr_ai,48,raw,5,1990-09-01,-856.97681931,0.0208633921613,0.130037237664,0.198542044084
lwti,gpr_ai,48,partialled,1,2001-09-01,192.221236388,0.142489686193,0.390347551458,0.476010478825
lwti,gpr_ai,48,partialled,2,1991-01-01,99.8292225938,0.074001368775,0.390347551458,0.476010478825
lwti,gpr_ai,48,partialled,3,1990-08-01,95.0533726044,0.0704611284817,0.390347551458,0.476010478825
lwti,gpr_ai,48,partialled,4,2022-03-01,87.4870834288,0.0648523924724,0.390347551458,0.476010478825
lwti,gpr_ai,48,partialled,5,2022-02-01,51.9951907351,0.0385429755351,0.390347551458,0.476010478825
lwti,military_conflict,0,raw,1,2022-04-01,-1078.50054615,0.0358849666176,0.158608242788,0.26067809069
lwti,military_conflict,0,raw,2,2026-03-01,1010.71922936,0.0336296777361,0.158608242788,0.26067809069
lwti,military_conflict,0,raw,3,1991-02-01,-1006.67358227,0.0334950668531,0.158608242788,0.26067809069
