model,specification,outcome,event,horizon,n,origin_start,origin_end,beta,primary_covariance,maximum_leverage,hc3_se,hc3_p,hc3_90_low,hc3_90_high,hc3_95_low,hc3_95_high,hc1_se,hc1_p,hc1_90_low,hc1_90_high,hc1_95_low,hc1_95_high
joint,mechanism_lag_augmented,lwip,military_conflict,0,432,1990-04-01,2026-03-01,-0.00169718802871,HC3,0.551877611743,0.00210218018833,0.41946682291,-0.00515496673598,0.00176059067857,-0.00581738548684,0.00242300942943,0.00187444272249,0.365234420622,-0.0047803719393,0.00138599588189,-0.00537102825586,0.00197665219845
joint,mechanism_lag_augmented,lwip,diplomatic_tension,0,432,1990-04-01,2026-03-01,0.00268587022113,HC3,0.551877611743,0.00308516617114,0.383985953977,-0.00238877654521,0.00776051698747,-0.00336094436062,0.00873268480288,0.00281816060668,0.340560736867,-0.0019495914741,0.00732133191636,-0.00283762307061,0.00820936351287
joint,mechanism_lag_augmented,lwip,nuclear_threat,0,432,1990-04-01,2026-03-01,-0.000216107815242,HC3,0.551877611743,0.00100037395116,0.828966676784,-0.00186157653712,0.00142936090664,-0.0021768047306,0.00174458910011,0.00090915821112,0.812113008608,-0.00171153999627,0.00127932436579,-0.00199802516529,0.0015658095348
joint,mechanism_lag_augmented,lwip,military_conflict,1,432,1990-04-01,2026-03-01,-0.00059618605789,HC3,0.551877611743,0.00230117858555,0.795574618884,-0.0043812880006,0.00318891588482,-0.00510641320757,0.00391404109179,0.00205165029588,0.771366028103,-0.00397085048831,0.00277847837253,-0.00461734674669,0.00342497463091
joint,mechanism_lag_augmented,lwip,diplomatic_tension,1,432,1990-04-01,2026-03-01,0.00830509984374,HC3,0.551877611743,0.00406831272868,0.0412099556754,0.0016133208964,0.0149968787911,0.000331353417684,0.0162788462698,0.00369069519812,0.0244311379707,0.00223444646114,0.0143757532263,0.00107147017751,0.01553872951
joint,mechanism_lag_augmented,lwip,nuclear_threat,1,432,1990-04-01,2026-03-01,0.000525466226055,HC3,0.551877611743,0.00154046550169,0.733021731722,-0.00200837404159,0.0030593064937,-0.00249379067668,0.00354472312879,0.00131919264007,0.690391295107,-0.00164441257261,0.00269534502472,-0.00206010383715,0.00311103628926
joint,mechanism_lag_augmented,lwip,military_conflict,2,432,1990-04-01,2026-03-01,-0.00177337126148,HC3,0.551877611743,0.00287299970139,0.53706704127,-0.00649903524054,0.00295229271758,-0.00740434720379,0.00385760468084,0.00251451440358,0.480652201234,-0.00590937939822,0.00236263687527,-0.00670172893109,0.00315498640814
joint,mechanism_lag_augmented,lwip,diplomatic_tension,2,432,1990-04-01,2026-03-01,0.00682896221692,HC3,0.551877611743,0.00470066298513,0.1462888027,-0.000902940343249,0.0145608647771,-0.0023841679374,0.0160420923712,0.00428377901078,0.1109037017,-0.000217227226021,0.0138751516599,-0.00156709036194,0.0152250147958
joint,mechanism_lag_augmented,lwip,nuclear_threat,2,432,1990-04-01,2026-03-01,0.000593556264337,HC3,0.551877611743,0.00196950911388,0.76313031521,-0.00264599794494,0.00383311047361,-0.00326661066608,0.00445372319476,0.0016544870814,0.719778039604,-0.00212783281225,0.00331494534093,-0.0026491788281,0.00383629135677
joint,mechanism_lag_augmented,lwip,military_conflict,3,432,1990-04-01,2026-03-01,-0.00452167370692,HC3,0.551877611743,0.00390018919943,0.246314660389,-0.0109369140574,0.00189356664356,-0.0121659040707,0.00312255665685,0.00361876377902,0.211479388401,-0.0104740104339,0.00143066302008,-0.0116143203824,0.00257097296852
