model,specification,outcome,event,horizon,n,origin_start,origin_end,beta,primary_covariance,maximum_leverage,hc3_se,hc3_p,hc3_90_low,hc3_90_high,hc3_95_low,hc3_95_high,hc1_se,hc1_p,hc1_90_low,hc1_90_high,hc1_95_low,hc1_95_high,interpretation
single,pre_2008,lwti,military_conflict,0,213,1990-04-01,2007-12-01,0.0739602626621,HC3,0.380030276118,0.0436004561576,0.089825568931,0.00224389421455,0.14567663111,-0.0114950611163,0.15941558644,0.0350645069322,0.0349218975104,0.0162842812574,0.131636244067,0.00523509193938,0.142685433385,Descriptive origin-month split; no independent-subsample difference test
single,post_2008,lwti,military_conflict,0,219,2008-01-01,2026-03-01,0.0809075899504,HC3,0.662714810338,0.03930295866,0.0395361850227,0.0162599758485,0.145555204052,0.00387520649081,0.15793997341,0.0325401170497,0.0129044581457,0.0273838603997,0.134431319501,0.0171301324802,0.14468504742,Descriptive origin-month split; no independent-subsample difference test
single,pre_2012,lwti,military_conflict,0,261,1990-04-01,2011-12-01,0.0720235296414,HC3,0.322527387514,0.036873925752,0.0507914752436,0.0113713191283,0.132675740154,-0.0002480368011,0.144295096084,0.03063848554,0.0187354366965,0.0216277055766,0.122419353706,0.0119732014421,0.132073857841,Descriptive origin-month split; no independent-subsample difference test
single,post_2012,lwti,military_conflict,0,171,2012-01-01,2026-03-01,0.0855716519953,HC3,0.71513117293,0.0434417072691,0.0488608294062,0.0141164022327,0.157026901758,0.000427470320845,0.17071583367,0.036095832709,0.017755418242,0.026199290646,0.144944013345,0.0148251198936,0.156318184097,Descriptive origin-month split; no independent-subsample difference test
single,pre_2019,lwti,military_conflict,0,345,1990-04-01,2018-12-01,0.069014994822,HC3,0.258472400853,0.031585230196,0.0288859058939,0.017061914376,0.120968075268,0.00710908119442,0.13092090845,0.026933524623,0.010394561329,0.0247132891593,0.113316700485,0.0162262565843,0.12180373306,Descriptive origin-month split; no independent-subsample difference test
single,post_2019,lwti,military_conflict,0,87,2019-01-01,2026-03-01,0.0856399860226,HC3,0.843715412515,0.0504870663674,0.0898336720134,0.00259615179401,0.168683820251,-0.0133128457426,0.184592817788,0.0428422595387,0.0456126241344,0.0151707400336,0.156109232012,0.00167070031048,0.169609271735,Descriptive origin-month split; no independent-subsample difference test
single,pre_2008,lwti,military_conflict,12,213,1990-04-01,2007-12-01,0.133959698774,HC3,0.380030276118,0.094873065494,0.157953281107,-0.0220926071042,0.290012004651,-0.0519880926976,0.319907490245,0.0749792681978,0.0739984122331,0.0106297775322,0.257289620015,-0.0129969664813,0.280916364029,Descriptive origin-month split; no independent-subsample difference test
single,post_2008,lwti,military_conflict,12,212,2008-01-01,2025-08-01,-0.00918955666412,HC3,0.673715916275,0.0464367687262,0.84312801965,-0.0855712441272,0.067192130799,-0.100203950926,0.0818248375976,0.0433476139119,0.832109508731,-0.0804900366267,0.0621109232985,-0.0941493187471,0.0757702054189,Descriptive origin-month split; no independent-subsample difference test
single,pre_2012,lwti,military_conflict,12,261,1990-04-01,2011-12-01,0.11737758684,HC3,0.322527387514,0.0778384481992,0.13156371095,-0.0106552669966,0.245410440677,-0.0351829682428,0.269938141923,0.0640624226463,0.0669160122377,0.0120042785991,0.222750895081,-0.00818245430899,0.242937627989,Descriptive origin-month split; no independent-subsample difference test
single,post_2012,lwti,military_conflict,12,164,2012-01-01,2025-08-01,-0.0330430651623,HC3,0.726490579479,0.0518064828752,0.523592690403,-0.118257146419,0.0521710160945,-0.134581905763,0.0684957754388,0.0480374094767,0.491540257229,-0.112057572369,0.0459714420448,-0.127194657647,0.0611085273227,Descriptive origin-month split; no independent-subsample difference test
single,pre_2019,lwti,military_conflict,12,345,1990-04-01,2018-12-01,0.0945692757212,HC3,0.258472400853,0.0748744511084,0.206575529653,-0.0285882367504,0.217726788193,-0.0521819518134,0.241320503256,0.0630823927217,0.133837573513,-0.00919202674382,0.198330578186,-0.0290699420719,0.218208493514,Descriptive origin-month split; no independent-subsample difference test
single,post_2019,lwti,military_conflict,12,80,2019-01-01,2025-08-01,-0.00642846763243,HC3,0.850944473898,0.0857044416386,0.940208821379,-0.147399729307,0.134542794043,-0.174406086559,0.161549151294,0.070291433793,0.92713146179,-0.12204758745,0.109190652186,-0.144197146288,0.131340211023,Descriptive origin-month split; no independent-subsample difference test
