model,outcome,event,horizon,beta,block_length,draws,seed,multiplier_se,critical90,critical95,sim90_low,sim90_high,sim95_low,sim95_high
single,lwti,military_conflict,0,0.065124540943,1,1999,20260920,0.0255629038089,2.52008509378,2.77957628652,0.000703848100428,0.129545233786,-0.00592950029875,0.136178582185
single,lwti,military_conflict,1,0.0473526791375,1,1999,20260920,0.0405258500887,2.52008509378,2.77957628652,-0.0547759115839,0.149481269859,-0.06529201276,0.159997371035
single,lwti,military_conflict,2,0.0155723003004,1,1999,20260920,0.0502231744755,2.52008509378,2.77957628652,-0.110994373058,0.142138973659,-0.124026844505,0.155171445106
single,lwti,military_conflict,3,-0.00030824478444,1,1999,20260920,0.0458186009407,2.52008509378,2.77957628652,-0.115775018033,0.115158528464,-0.12766454144,0.127048051872
single,lwti,military_conflict,4,-0.00668024763771,1,1999,20260920,0.0402459418461,2.52008509378,2.77957628652,-0.108103445769,0.0947429504937,-0.118546913222,0.105186417946
single,lwti,military_conflict,5,0.00230098233755,1,1999,20260920,0.0385742127754,2.52008509378,2.77957628652,-0.0949093162819,0.099511280957,-0.104918984764,0.109520949439
single,lwti,military_conflict,6,-0.0471543597054,1,1999,20260920,0.0361650721276,2.52008509378,2.77957628652,-0.13829341889,0.0439846994788,-0.147677936591,0.0533692171806
single,lwti,military_conflict,7,-0.0430706134081,1,1999,20260920,0.0354095180571,2.52008509378,2.77957628652,-0.132305612042,0.0461643852255,-0.141494070117,0.0553528433004
single,lwti,military_conflict,8,-0.0427894599761,1,1999,20260920,0.0397582637812,2.52008509378,2.77957628652,-0.142983667886,0.0574047479333,-0.153300587175,0.067721667223
single,lwti,military_conflict,9,-0.0239959805324,1,1999,20260920,0.0412541454697,2.52008509378,2.77957628652,-0.127959937587,0.0799679765223,-0.138665025,0.0906730639356
single,lwti,military_conflict,10,-0.00636447364324,1,1999,20260920,0.0463352745949,2.52008509378,2.77957628652,-0.123133308466,0.11040436118,-0.135156904136,0.12242795685
single,lwti,military_conflict,11,0.010337233002,1,1999,20260920,0.0516322251934,2.52008509378,2.77957628652,-0.119780368067,0.140454834071,-0.133178475766,0.15385294177
single,lwti,military_conflict,12,-0.00153839171121,1,1999,20260920,0.0497805888541,2.52008509378,2.77957628652,-0.126989711642,0.12391292822,-0.139907336019,0.136830552596
single,lwti,military_conflict,13,-0.00519790642702,1,1999,20260920,0.0556386478451,2.52008509378,2.77957628652,-0.1454120335,0.135016220646,-0.159849772591,0.149453959737
single,lwti,military_conflict,14,0.0209008138072,1,1999,20260920,0.0590989755882,2.52008509378,2.77957628652,-0.12803363363,0.169835261245,-0.143369297295,0.18517092491
single,lwti,military_conflict,15,0.0178376210336,1,1999,20260920,0.0536776444452,2.52008509378,2.77957628652,-0.117434610602,0.153109852669,-0.131363486582,0.16703872865
single,lwti,military_conflict,16,-0.0049637516902,1,1999,20260920,0.053593710082,2.52008509378,2.77957628652,-0.140024461588,0.130096958208,-0.15393155734,0.14400405396
single,lwti,military_conflict,17,0.0102798925685,1,1999,20260920,0.0544591831567,2.52008509378,2.77957628652,-0.126961883124,0.147521668261,-0.141093561517,0.161653346654
single,lwti,military_conflict,18,0.00186956874838,1,1999,20260920,0.0576454311718,2.52008509378,2.77957628652,-0.143401823072,0.147140960569,-0.158360304763,0.162099442259
