variable,label,n,mean,sd,min,median,max
lwti,Log real WTI price,440,3.05093473442,0.453005851272,1.86625385114,3.03643440207,4.12008534122
lbrent,Log real Brent price,440,3.052425263,0.507748732766,1.78728882573,3.08074877042,4.10836469615
lwip,Log world industrial production,438,4.28728361437,0.272302562508,3.82123893394,4.32527160815,4.71610781829
lgop,Log global oil production,434,11.1825905127,0.114055877335,10.9427920603,11.2130874406,11.3697650092
production_growth,Global oil production growth,433,0.000820459836028,0.0119917253774,-0.1446474838,0.0016951112,0.0436356115
x_gpr_ai,Log(1 + Aggregate AI-GPR),440,4.63081077863,0.295018653375,3.76953735713,4.59446213787,5.76810222186
x_military_conflict,Log(1 + Military conflict),440,3.2286824784,0.709263035119,1.36555579597,3.13789987987,5.46714410989
x_diplomatic_tension,Log(1 + Diplomatic tension),440,3.43573405094,0.280064949002,2.806428397,3.4025418605,4.4644852678
x_terrorism,Log(1 + Terrorism),440,2.52727905258,0.563985116807,1.17021951752,2.52482423084,5.21072855015
x_civil_war,Log(1 + Civil war),440,2.02997873785,0.571875531384,0.479706404707,1.94387227072,3.66449454418
x_nuclear_threat,Log(1 + Nuclear threat),440,1.46342171592,0.52658341705,0,1.4367731875,3.29458793827
x_coup,Log(1 + Coup),440,0.744874052661,0.527517980195,0,0.617938357422,3.33784216015
x_sanctions,Log(1 + Sanctions),440,1.23407528686,0.592067017201,0.052782185439,1.1015080719,3.90054741195
x_other,Log(1 + Other events),440,2.51732919937,0.310637051906,1.74426596403,2.5209612685,3.47037512495
z_gpr_ai,Second difference: Aggregate AI-GPR,438,-0.0284931506849,39.1992632095,-238.53,2.75,199.59
z_military_conflict,Second difference: Military conflict,438,-0.0543776255708,35.0767817014,-243.3329,2.9044,187.2264
z_diplomatic_tension,Second difference: Diplomatic tension,438,-0.00662534246575,12.5021322819,-45.6507,0.0194,47.9215
z_terrorism,Second difference: Terrorism,438,0.00756689497717,19.1048967405,-246.0912,1.1233,173.6743
z_civil_war,Second difference: Civil war,438,0.00169383561644,5.59726805711,-37.8107,0.27595,18.9324
z_nuclear_threat,Second difference: Nuclear threat,438,-0.0054404109589,4.82253119566,-27.2784,0.4508,16
z_coup,Second difference: Coup,438,0.000404109589041,4.51667048229,-48.159,0.21685,26.0964
z_sanctions,Second difference: Sanctions,438,0.018603652968,5.17979883506,-58.5983,0.17595,22.6642
z_other,Second difference: Other events,438,0.00968127853881,4.5799144702,-22.5977,0.4131,15.492
