model,outcome,horizon,n,event,sw_conditional_F,conditional_df,residual_df,raw_wald_F_all_instruments,excluded_instruments,endogenous_regressors,covariance_assumption
joint,lwti,0,432,military_conflict,210.351402272,1,415,70.1171340906,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,0,432,diplomatic_tension,585.328215348,1,415,195.109405116,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,0,432,nuclear_threat,447.242719581,1,415,149.080906527,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,1,432,military_conflict,210.351402272,1,415,70.1171340906,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,1,432,diplomatic_tension,585.328215348,1,415,195.109405116,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,1,432,nuclear_threat,447.242719581,1,415,149.080906527,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,2,432,military_conflict,210.351402272,1,415,70.1171340906,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,2,432,diplomatic_tension,585.328215348,1,415,195.109405116,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,2,432,nuclear_threat,447.242719581,1,415,149.080906527,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,3,432,military_conflict,210.351402272,1,415,70.1171340906,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,3,432,diplomatic_tension,585.328215348,1,415,195.109405116,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,3,432,nuclear_threat,447.242719581,1,415,149.080906527,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,4,432,military_conflict,210.351402272,1,415,70.1171340906,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,4,432,diplomatic_tension,585.328215348,1,415,195.109405116,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,4,432,nuclear_threat,447.242719581,1,415,149.080906527,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,5,432,military_conflict,210.351402272,1,415,70.1171340906,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,5,432,diplomatic_tension,585.328215348,1,415,195.109405116,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,5,432,nuclear_threat,447.242719581,1,415,149.080906527,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,6,431,military_conflict,211.229354863,1,414,70.4097849545,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,6,431,diplomatic_tension,648.128614582,1,414,216.042871527,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,6,431,nuclear_threat,456.381509004,1,414,152.127169668,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,7,430,military_conflict,212.028309355,1,413,70.6761031183,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,7,430,diplomatic_tension,681.899093695,1,413,227.299697898,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,7,430,nuclear_threat,462.784031183,1,413,154.261343728,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,8,429,military_conflict,210.708730835,1,412,70.2362436117,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,8,429,diplomatic_tension,660.411974751,1,412,220.137324917,3,3,homoskedastic Sanderson-Windmeijer correction
joint,lwti,8,429,nuclear_threat,462.681902851,1,412,154.22730095,3,3,homoskedastic Sanderson-Windmeijer correction
